,item_id,user_id
0,b912c3c6a6ad,e00f8ff2eaf9
1,2dac0150717d,39aeb48f0017
2,ba83aefab5dc,91e2f88dd6e3
3,02996f1dd2ea,bf5cccea572d
4,7c90be56d2ab,ef50846afc0b
5,51e0962387f7,bbfad0b1ad0a
6,c4f260a2b48a,08f469d2e6f7
7,6b71309d6a8a,fef86baa002c
8,c5b969cb63a2,55825270190
9,b1570962e68c,f9e8f831d94c
10,d5480bb4a6e4,d46200940f37
11,86f41f50d8c1,35c2b6b654e0
12,645237cb3601,fc9a38b79414
13,df2116f34563,3ce3c2318b16
14,a97943ae8158,f643d87dd23c
15,4b6abd0a5921,94de2b374869
16,7896ef8fe482,007c6bd858cb
17,7882b1e77748,7a3fda0cdf94
18,071e1ed13c5c,325cacee50f4
19,0658628930d4,27c2d83b766e
20,ea12aec32ec3,06ee4ff4e99c
21,838a82cec0a6,5d44315f6d90
22,de310e6aae86,0178e6308f38
23,08b24e170109,6630d724bbf5
24,065a4daba35f,19a5cd02c89b
25,990113ae4f1c,d9b494f97062
26,78164bc09657,721c2f914f63
27,fbe29970a8a5,2f0e2746d462
28,71d9399b59a2,965ee1e259eb
29,4941f0385575,d283308a713b
30,af9d5b0eadc9,ff3f46835373
31,1b080aa4a17d,68ee0dc56c28
32,d0e88acda491,5646036467ec
33,c559542570bd,1446906a094c
3.40E+01,2285e797fe2d,5977e301114d
35,3cb58a3d1d60,8ad989e5c449
36,f5259a31c938,8fc3ab3b7ed3
37,dd65da44086c,bf74debfc95a
38,f55eed4e831e,7e8eb4a5d1d5
39,eddd320650f3,9250cd567e37
40,078d07e4548b,442d45274b6a
41,b865b1ea7621,88f1d2bb3f11
42,208faac9e776,faac0b8d3f16
43,50ac2bb95f8d,36b6070caad9
44,745d124338ae,ffed6acdf3cb
45,75076ea12736,7febd220f4b1
46,a58ab9e6a0b1,77e9bdfba1b6
47,8c7c7596d7e5,1a4ba0f7ddf6
48,16cec7b5dc9d,2f12a7caf4b5
49,a285d4daec8a,e76f336932dc
50,d4f6d088efb9,f12f66de31ae
51,9a3f6028c653,e246a8135999
52,fec4bda6b786,d2d2ea930279
53,f2d19da921ff,794b7b865f1d
54,0ee6e90e7b9d,4151658d66c6
55,f893190597f3,b9d8c15c0f89
56,3e6e4c0c26f6,da1a00873602
57,10664f10993a,2d941efb49d8
58,161a8d6b87b5,43e3aa5b47ee
59,6da2b3d03321,28f34159e53e
60,fc21a86b9bb0,ab36081b2db1
61,ba36c5cf3336,52158ee9481b
62,8a13866551b1,21f5de19e1e4
63,f35aef7959d0,8b680fb749b9
64,601e7b35dfed,7ae3266c2538
65,92013ca1fe79,f04d65543e01
66,c6239fc67a6f,9c9c9121ba17
67,b610c5d476af,b6a265cb2d98
68,ffed80fe1b77,d1e5828ae1ee
69,a297b829b758,a072669fe34b
70,120b06793d93,b117d660c9b7
71,88b2838cc050,81885dc305dc
72,4b7ce4918084,37e85b856043
73,57d83077c16a,9e0056ae9ed3
74,1298ab2ff7f3,b94c4c860296
75,083d89d7973b,091c29cc5b0f
76,6eccf4e3d546,e4233082f7bb
77,a58ad095e488,e9c83ca3716d
